,year,year_code,country_name,country_code,total_fertility_rate,gdp_2015_dollar,gdp_per_capita_2015_dollar,gdp_growth,physicians_per_1000,hospital_beds_per_1000,arable_land_hectare_per_person,cpi,crop_production_index,food_production_index,percent_of_household_expenditure_in_gdp,life_expectancy_at_birth,infant_mortality_rate,child_mortality_rate,female_percentage_in_labor
271,2001,YR2001,Brazil,BRA,2.183,1200000000000.0,6749.881603,1.389896401,,2.75,0.258259998,56.1249316,57.21,59.51,64.10770837,70.195,28.5,32.4,54.387
272,2001,YR2001,France,FRA,1.9,2090000000000.0,34009.8624,1.983721419,3.408,8.12,0.298951945,85.76870964,95.4,99.36,54.12079053,79.15853659,3.9,5.3,48.865
273,2001,YR2001,Germany,DEU,1.35,2880000000000.0,35011.06846,1.681468481,3.327,9.1,0.143448825,87.39894991,100.61,94.16,56.46404669,78.32926829,4.3,5.2,49.293
274,2001,YR2001,Poland,POL,1.31,285000000000.0,7438.603435,1.258569461,2.243,,0.355155119,80.16051562,103.88,94.16,64.60933941,74.2,7.6,8.8,49.693
275,2001,YR2001,Nigeria,NGA,6.139,190000000000.0,1508.55359,5.917684649,,,0.282602007,35.18668454,63.49,64.33,,47.619,106.6,177.0,
276,2001,YR2001,Kenya,KEN,5.091,38015522174.0,1195.443778,3.779906498,,,0.161256122,40.27358227,66.82,66.11,79.57030879,54.508,55.6,91.2,
277,2001,YR2001,United Kingdom,GBR,1.63,2350000000000.0,39768.66635,2.578741046,2.043,4.04,0.095585779,82.71684853,86.81,88.34,66.16646381,77.99268293,5.5,6.4,54.08
278,2001,YR2001,China,CHN,1.563,3000000000000.0,2359.572385,8.335733478,1.287,1.69,0.094062857,81.55229846,63.25,64.45,45.51980966,72.606,27.8,34.1,
279,2001,YR2001,Japan,JPN,1.33,4000000000000.0,31476.05207,0.386103426,,14.61,0.03495112,101.9078177,113.41,99.95,54.42205916,81.41634146,3.1,4.3,49.147
280,2002,YR2002,Argentina,ARG,2.493,337000000000.0,8895.319642,-10.89448483,,,0.735435645,,65.11,68.91,61.89842386,74.408,16.4,18.4,45.6
281,2002,YR2002,Brazil,BRA,2.103,1240000000000.0,6868.695907,3.053461859,,2.56,0.258216179,60.86758058,60.96,63.61,61.89843503,70.41,26.7,30.3,55.913
282,2002,YR2002,France,FRA,1.88,2110000000000.0,34146.30627,1.135531482,3.435,8.01,0.297195394,87.41839554,103.96,104.46,53.97312935,79.26097561,3.7,5.1,49.065
283,2002,YR2002,Germany,DEU,1.34,2880000000000.0,34883.05807,-0.197973835,3.364,8.99,0.142941146,88.64071957,91.73,89.99,55.74177024,78.22926829,4.2,5.1,49.36
284,2002,YR2002,Poland,POL,1.25,290000000000.0,7593.559655,2.035863041,2.279,5.599999905,0.340305418,81.68779962,95.38,91.16,66.5149825,74.49756098,7.3,8.4,48.838
285,2002,YR2002,Nigeria,NGA,6.135,219000000000.0,1693.745727,15.32915574,,,0.275406441,39.71752584,66.64,67.65,,47.928,103.6,171.3,
286,2002,YR2002,Kenya,KEN,5.016,38223413680.0,1166.065286,0.54685953,0.138,1.9,0.155308953,41.06347134,66.41,67.9,78.61447034,54.99,52.9,86.1,
287,2002,YR2002,United Kingdom,GBR,1.63,2390000000000.0,40310.30494,1.791985616,2.114,3.98,0.097455842,83.97447753,97.87,93.96,65.86757694,78.14390244,5.4,6.3,54.638
288,2002,YR2002,China,CHN,1.566,3280000000000.0,2557.891612,9.13363079,1.143,1.73,0.093742337,80.95535936,66.02,67.12,44.91301883,72.985,25.7,31.5,
289,2002,YR2002,Japan,JPN,1.32,4000000000000.0,31416.12418,0.041962499,1.979,14.45,0.034673781,100.9667051,111.91,100.92,55.06246488,81.69073171,3.0,4.1,48.539
290,2003,YR2003,Argentina,ARG,2.451,367000000000.0,9581.969792,8.837040796,,,0.779248451,,67.6,71.49,63.19780641,74.08,15.9,17.8,48.97
